"id","tinh_tp","quan_huyen","phuong_xa","tinh_tp_lower","quan_huyen_lower","phuong_xa_lower"
1115,Đắk Lắk,KRÔNG BÚK,,dak lak,krong buk,
1116,Đắk Lắk,KRÔNG NĂNG,,dak lak,krong nang,
1117,Đắk Lắk,KRÔNG PẮC,,dak lak,krong pac,
1118,Đắk Lắk,LẮK,,dak lak,lak,
1119,Đắk Nông,CƯ JÚT,,dak nong,cu jut,
1120,Đắk Nông,GIA NGHĨA,,dak nong,gia nghia,
1121,Đắk Nông,KRÔNG NÔ,,dak nong,krong no,
1122,Đắk Nông,TUY ĐỨC,,dak nong,tuy duc,
1123,Đắk Nông,ĐĂK GLONG,,dak nong,dak glong,
1124,Đắk Nông,ĐẮK MIL,,dak nong,dak mil,
1125,Đắk Nông,ĐẮK SONG,,dak nong,dak song,
1126,Khánh Hòa,CAM LÂM,,khanh hoa,cam lam,
1127,Khánh Hòa,CAM RANH,,khanh hoa,cam ranh,
1128,Khánh Hòa,DIÊN KHÁNH,,khanh hoa,dien khanh,
1129,Khánh Hòa,KHÁNH SƠN,,khanh hoa,khanh son,
1130,Khánh Hòa,KHÁNH VĨNH,,khanh hoa,khanh vinh,
1131,Khánh Hòa,NHA TRANG,,khanh hoa,nha trang,
1132,Khánh Hòa,NINH HÒA,,khanh hoa,ninh hoa,
1133,Khánh Hòa,TRƯỜNG SA,,khanh hoa,truong sa,
1134,Khánh Hòa,VẠN NINH,,khanh hoa,van ninh,
1135,Ninh Thuận,BÁC ÁI,,ninh thuan,bac ai,
1136,Ninh Thuận,NINH HẢI,,ninh thuan,ninh hai,
1137,Ninh Thuận,NINH PHƯỚC,,ninh thuan,ninh phuoc,
1138,Ninh Thuận,NINH SƠN,,ninh thuan,ninh son,
1139,Ninh Thuận,PHAN RANG-THÁP CHÀM,,ninh thuan,phan rang-thap cham,
1140,Ninh Thuận,THUẬN BẮC,,ninh thuan,thuan bac,
1141,Ninh Thuận,THUẬN NAM,,ninh thuan,thuan nam,
1142,Lâm Đồng,BẢO LÂM,,lam dong,bao lam,
1143,Lâm Đồng,BẢO LỘC,,lam dong,bao loc,
1144,Lâm Đồng,CÁT TIÊN,,lam dong,cat tien,
1145,Đắk Lắk,CƯ M'GAR,,dak lak,cu m'gar,
1146,Lâm Đồng,DI LINH,,lam dong,di linh,
1147,Lâm Đồng,LÂM HÀ,,lam dong,lam ha,
1148,Lâm Đồng,LẠC DƯƠNG,,lam dong,lac duong,
1149,Lâm Đồng,ĐAM RÔNG,,lam dong,dam rong,
1150,Lâm Đồng,ĐÀ LẠT,,lam dong,da lat,
1151,Lâm Đồng,ĐƠN DƯƠNG,,lam dong,don duong,
1152,Lâm Đồng,ĐẠ HUOAI,,lam dong,da huoai,
1153,Lâm Đồng,ĐẠ TẺH,,lam dong,da teh,
1154,Lâm Đồng,ĐỨC TRỌNG,,lam dong,duc trong,
1155,Hồ Chí Minh,BÌNH CHÁNH,,ho chi minh,binh chanh,
1156,Hồ Chí Minh,BÌNH THẠNH,,ho chi minh,binh thanh,
1157,Hồ Chí Minh,BÌNH TÂN,,ho chi minh,binh tan,
1158,Hồ Chí Minh,CẦN GIỜ,,ho chi minh,can gio,
1159,Hồ Chí Minh,CỦ CHI,,ho chi minh,cu chi,
1160,Hồ Chí Minh,GÒ VẤP,,ho chi minh,go vap,
1161,Hồ Chí Minh,HÓC MÔN,,ho chi minh,hoc mon,
1162,Hồ Chí Minh,NHÀ BÈ,,ho chi minh,nha be,
1163,Hồ Chí Minh,PHÚ NHUẬN,,ho chi minh,phu nhuan,
1164,Hồ Chí Minh,THỦ ĐỨC,,ho chi minh,thu duc,
1165,Hồ Chí Minh,TÂN BÌNH,,ho chi minh,tan binh,
1166,Hồ Chí Minh,TÂN PHÚ,,ho chi minh,tan phu,
1167,Hồ Chí Minh,DISTRICT 1,,ho chi minh,district 1,
1168,Hồ Chí Minh,DISTRICT 10,,ho chi minh,district 10,
1169,Hồ Chí Minh,DISTRICT 11,,ho chi minh,district 11,
1170,Hồ Chí Minh,DISTRICT 12,,ho chi minh,district 12,
1171,Hồ Chí Minh,DISTRICT 2,,ho chi minh,district 2,
1172,Hồ Chí Minh,DISTRICT 3,,ho chi minh,district 3,
1173,Hồ Chí Minh,DISTRICT 4,,ho chi minh,district 4,
1174,Hồ Chí Minh,DISTRICT 5,,ho chi minh,district 5,
1175,Hồ Chí Minh,DISTRICT 6,,ho chi minh,district 6,
1176,Hồ Chí Minh,DISTRICT 7,,ho chi minh,district 7,
1177,Hồ Chí Minh,DISTRICT 8,,ho chi minh,district 8,
1178,Hồ Chí Minh,DISTRICT 9,,ho chi minh,district 9,
1179,Bà Rịa - Vũng Tàu,BÀ RỊA,,ba ria - vung tau,ba ria,
1180,Bà Rịa - Vũng Tàu,CHÂU ĐỨC,,ba ria - vung tau,chau duc,
1181,Bà Rịa - Vũng Tàu,LONG ĐIỀN,,ba ria - vung tau,long dien,
1182,Bà Rịa - Vũng Tàu,TÂN THÀNH,,ba ria - vung tau,tan thanh,
1183,Bà Rịa - Vũng Tàu,VŨNG TÀU,,ba ria - vung tau,vung tau,
1184,Bà Rịa - Vũng Tàu,XUYÊN MỘC,,ba ria - vung tau,xuyen moc,
1185,Bà Rịa - Vũng Tàu,ĐẤT ĐỎ,,ba ria - vung tau,dat do,
1186,Bà Rịa - Vũng Tàu,CÔN ĐẢO,,ba ria - vung tau,con dao,
1187,Bà Rịa - Vũng Tàu,PHÚ MỸ,,ba ria - vung tau,phu my,
1188,Bình Thuận,BẮC BÌNH,,binh thuan,bac binh,
1189,Bình Thuận,HÀM THUẬN BẮC,,binh thuan,ham thuan bac,
1190,Bình Thuận,HÀM THUẬN NAM,,binh thuan,ham thuan nam,
1191,Bình Thuận,HÀM TÂN,,binh thuan,ham tan,
1192,Bình Thuận,LA GI,,binh thuan,la gi,
1193,Bình Thuận,PHAN THIẾT,,binh thuan,phan thiet,
1194,Bình Thuận,PHÚ QUÍ,,binh thuan,phu qui,
1195,Bình Thuận,TUY PHONG,,binh thuan,tuy phong,
1196,Bình Thuận,TÁNH LINH,,binh thuan,tanh linh,
1197,Bình Thuận,ĐỨC LINH,,binh thuan,duc linh,
1198,Đồng Nai,BIÊN HÒA,,dong nai,bien hoa,
1199,Đồng Nai,CẨM MỸ,,dong nai,cam my,
1200,Đồng Nai,LONG KHÁNH,,dong nai,long khanh,
1201,Đồng Nai,LONG THÀNH,,dong nai,long thanh,
1202,Đồng Nai,NHƠN TRẠCH,,dong nai,nhon trach,
1203,Đồng Nai,THỐNG NHẤT,,dong nai,thong nhat,
1204,Đồng Nai,TRẢNG BOM,,dong nai,trang bom,
1205,Đồng Nai,TÂN PHÚ,,dong nai,tan phu,
1206,Đồng Nai,VĨNH CỬU,,dong nai,vinh cuu,
1207,Đồng Nai,XUÂN LỘC,,dong nai,xuan loc,
1208,Đồng Nai,ĐỊNH QUÁN,,dong nai,dinh quan,
1209,Bình Định,AN LÃO,,binh dinh,an lao,
1210,Bình Định,AN NHƠN,,binh dinh,an nhon,
1211,Bình Định,HOÀI NHƠN,,binh dinh,hoai nhon,
1212,Bình Định,HOÀI ÂN,,binh dinh,hoai an,
1213,Bình Định,PHÙ CÁT,,binh dinh,phu cat,
1214,Bình Định,PHÙ MỸ,,binh dinh,phu my,
1215,Bình Định,QUI NHƠN,,binh dinh,qui nhon,
1216,Bình Định,TUY PHƯỚC,,binh dinh,tuy phuoc,
1217,Bình Định,TÂY SƠN,,binh dinh,tay son,
1218,Bình Định,VÂN CANH,,binh dinh,van canh,
1219,Bình Định,VĨNH THẠNH,,binh dinh,vinh thanh,
1220,Bình Phước,BÌNH LONG,,binh phuoc,binh long,
1221,Bình Phước,BÙ GIA MẬP,,binh phuoc,bu gia map,
1222,Bình Phước,BÙ ĐĂNG,,binh phuoc,bu dang,
1223,Bình Phước,BÙ ĐỐP,,binh phuoc,bu dop,
1224,Bình Phước,CHƠN THÀNH,,binh phuoc,chon thanh,
1225,Bình Phước,HỚN QUẢN,,binh phuoc,hon quan,
1226,Bình Phước,LỘC NINH,,binh phuoc,loc ninh,
1227,Bình Phước,PHÚ RIỀNG,,binh phuoc,phu rieng,
1228,Bình Phước,PHƯỚC LONG,,binh phuoc,phuoc long,
1229,Bình Phước,ĐỒNG PHÚ,,binh phuoc,dong phu,
1230,Bình Phước,ĐỒNG XOÀI,,binh phuoc,dong xoai,
1231,Tây Ninh,BẾN CẦU,,tay ninh,ben cau,
1232,Tây Ninh,CHÂU THÀNH,,tay ninh,chau thanh,
1233,Tây Ninh,DƯƠNG MINH CHÂU,,tay ninh,duong minh chau,
1234,Tây Ninh,GÒ DẦU,,tay ninh,go dau,
1235,Tây Ninh,HÒA THÀNH,,tay ninh,hoa thanh,
1236,Tây Ninh,TRẢNG BÀNG,,tay ninh,trang bang,
1237,Tây Ninh,TÂN BIÊN,,tay ninh,tan bien,
1238,Tây Ninh,TÂN CHÂU,,tay ninh,tan chau,
1239,Tây Ninh,TÂY NINH,,tay ninh,tay ninh,
1240,Long An,BẾN LỨC,,long an,ben luc,
1241,Long An,CHÂU THÀNH,,long an,chau thanh,
1242,Long An,CẦN GIUỘC,,long an,can giuoc,
1243,Long An,CẦN ĐƯỚC,,long an,can duoc,
1244,Long An,KIẾN TƯỜNG,,long an,kien tuong,
1245,Long An,MỘC HÓA,,long an,moc hoa,
1246,Long An,THẠNH HÓA,,long an,thanh hoa,
1247,Long An,THỦ THỪA,,long an,thu thua,
1248,Long An,TÂN AN,,long an,tan an,
1249,Long An,TÂN HƯNG,,long an,tan hung,
1250,Long An,TÂN THẠNH,,long an,tan thanh,
1251,Long An,TÂN TRỤ,,long an,tan tru,
1252,Long An,VĨNH HƯNG,,long an,vinh hung,
1253,Long An,ĐỨC HUỆ,,long an,duc hue,
1254,Long An,ĐỨC HÒA,,long an,duc hoa,
1255,Tiền Giang,HUYỆN CAI LẬY,,tien giang,huyen cai lay,
1256,Tiền Giang,CHÂU THÀNH,,tien giang,chau thanh,
1257,Tiền Giang,CHỢ GẠO,,tien giang,cho gao,
1258,Tiền Giang,CÁI BÈ,,tien giang,cai be,
1259,Tiền Giang,GÒ CÔNG,,tien giang,go cong,
1260,Tiền Giang,GÒ CÔNG TÂY,,tien giang,go cong tay,
1261,Tiền Giang,GÒ CÔNG ĐÔNG,,tien giang,go cong dong,
1262,Tiền Giang,MỸ THO,,tien giang,my tho,
1263,Tiền Giang,TÂN PHÚ ĐÔNG,,tien giang,tan phu dong,
1264,Tiền Giang,TÂN PHƯỚC,,tien giang,tan phuoc,
1265,Đồng Tháp,CAO LÃNH,,dong thap,cao lanh,
1266,Đồng Tháp,CHÂU THÀNH,,dong thap,chau thanh,
1267,Đồng Tháp,HỒNG NGỰ,,dong thap,hong ngu,
1268,Đồng Tháp,LAI VUNG,,dong thap,lai vung,
1269,Đồng Tháp,LẤP VÒ,,dong thap,lap vo,
1270,Đồng Tháp,SA ĐÉC,,dong thap,sa dec,
1271,Đồng Tháp,TAM NÔNG,,dong thap,tam nong,
1272,Đồng Tháp,THANH BÌNH,,dong thap,thanh binh,
1273,Đồng Tháp,THÁP MƯỜI,,dong thap,thap muoi,
1274,Đồng Tháp,TÂN HỒNG,,dong thap,tan hong,
1275,An Giang,AN PHÚ,,an giang,an phu,
1276,An Giang,CHÂU PHÚ,,an giang,chau phu,
1277,An Giang,CHÂU THÀNH,,an giang,chau thanh,
1278,An Giang,CHÂU ĐỐC,,an giang,chau doc,
1279,An Giang,CHỢ MỚI,,an giang,cho moi,
1280,An Giang,LONG XUYÊN,,an giang,long xuyen,
1281,An Giang,PHÚ TÂN,,an giang,phu tan,
1282,An Giang,THOẠI SƠN,,an giang,thoai son,
1284,An Giang,TÂN CHÂU,,an giang,tan chau,
1285,An Giang,TỊNH BIÊN,,an giang,tinh bien,
1286,Vĩnh Long,VŨNG LIÊM,,vinh long,vung liem,
1287,Vĩnh Long,BÌNH MINH,,vinh long,binh minh,
1288,Vĩnh Long,BÌNH TÂN,,vinh long,binh tan,
1289,Vĩnh Long,LONG HỒ,,vinh long,long ho,
1290,Vĩnh Long,MANG THÍT,,vinh long,mang thit,
1291,Vĩnh Long,TAM BÌNH,,vinh long,tam binh,
1292,Vĩnh Long,TRÀ ÔN,,vinh long,tra on,
1293,Vĩnh Long,VĨNH LONG,,vinh long,vinh long,
1294,Cần Thơ,BÌNH THUỶ,,can tho,binh thuy,
1295,Cần Thơ,CÁI RĂNG,,can tho,cai rang,
1296,Cần Thơ,CỜ ĐỎ,,can tho,co do,
1297,Cần Thơ,NINH KIỀU,,can tho,ninh kieu,
1298,Cần Thơ,PHONG ĐIỀN,,can tho,phong dien,
1299,Cần Thơ,THỐT NỐT,,can tho,thot not,
1300,Cần Thơ,THỚI LAI,,can tho,thoi lai,
1301,Cần Thơ,VĨNH THẠNH,,can tho,vinh thanh,
1302,Cần Thơ,Ô MÔN,,can tho,o mon,
1303,Hậu Giang,CHÂU THÀNH,,hau giang,chau thanh,
1304,Hậu Giang,CHÂU THÀNH A,,hau giang,chau thanh a,
1305,Hậu Giang,LONG MỸ,,hau giang,long my,
1306,Hậu Giang,NGÃ BẢY,,hau giang,nga bay,
1307,Hậu Giang,PHỤNG HIỆP,,hau giang,phung hiep,
1308,Hậu Giang,VỊ THANH,,hau giang,vi thanh,
1309,Hậu Giang,VỊ THUỶ,,hau giang,vi thuy,
1310,Kiên Giang,AN BIÊN,,kien giang,an bien,
1311,Kiên Giang,AN MINH,,kien giang,an minh,
1312,Sóc Trăng,KẾ SÁCH,,soc trang,ke sach,
1313,Sóc Trăng,LONG PHÚ,,soc trang,long phu,
1314,Sóc Trăng,MỸ TÚ,,soc trang,my tu,
1315,Sóc Trăng,MỸ XUYÊN,,soc trang,my xuyen,
1316,Sóc Trăng,NGÃ NĂM,,soc trang,nga nam,
1317,Sóc Trăng,SÓC TRĂNG,,soc trang,soc trang,
1318,Sóc Trăng,THẠNH TRỊ,,soc trang,thanh tri,
1319,Sóc Trăng,VĨNH CHÂU,,soc trang,vinh chau,
1320,Sóc Trăng,TRẦN ĐỀ,,soc trang,tran de,
1321,Bắc Kạn,BA BỂ,,bac kan,ba be,
1322,Bắc Kạn,BẠCH THÔNG,,bac kan,bach thong,
1323,Bắc Kạn,BẮC KẠN,,bac kan,bac kan,
1324,Bắc Kạn,CHỢ MỚI,,bac kan,cho moi,
1325,Bắc Kạn,CHỢ ĐỒN,,bac kan,cho don,
1326,Bắc Kạn,NA RÌ,,bac kan,na ri,
1327,Bắc Kạn,NGÂN SƠN,,bac kan,ngan son,
1328,Bắc Kạn,PÁC NẶM,,bac kan,pac nam,
1329,Cà Mau,CÀ MAU,,ca mau,ca mau,
1330,Cà Mau,CÁI NƯỚC,,ca mau,cai nuoc,
1331,Cà Mau,NGỌC HIỂN,,ca mau,ngoc hien,
1332,Cà Mau,NĂM CĂN,,ca mau,nam can,
1333,Cà Mau,PHÚ TÂN,,ca mau,phu tan,
1334,Cà Mau,THỚI BÌNH,,ca mau,thoi binh,
1335,Cà Mau,TRẦN VĂN THỜI,,ca mau,tran van thoi,
1336,Cà Mau,U MINH,,ca mau,u minh,
1337,Cà Mau,ĐẦM DƠI,,ca mau,dam doi,
1338,Cục Trưởng Cục Cảnh Sát,,,cuc truong cuc canh sat,,
1339,Bắc Ninh,BẮC NINH,,bac ninh,bac ninh,
1340,Bắc Ninh,GIA BÌNH,,bac ninh,gia binh,
1341,Bắc Ninh,LƯƠNG TÀI,,bac ninh,luong tai,
1342,Bắc Ninh,QUẾ VÕ,,bac ninh,que vo,
1343,Bắc Ninh,THUẬN THÀNH,,bac ninh,thuan thanh,
1344,Bắc Ninh,TIÊN DU,,bac ninh,tien du,
1345,Bắc Ninh,TỪ SƠN,,bac ninh,tu son,
1346,Bắc Ninh,YÊN PHONG,,bac ninh,yen phong,
1347,Kon Tum,IA H'DRAI,,kon tum,ia h'drai,
1348,Đắk Lắk,EA H'LEO,,dak lak,ea h'leo,
1349,Đắk Lắk,M'ĐRẮK,,dak lak,m'drak,
1350,Đắk Nông,ĐẮK R'LẤP,,dak nong,dak r'lap,
1351,Hà Nội,BA VÌ,,ha noi,ba vi,
1352,Hà Nội,BA ĐÌNH,,ha noi,ba dinh,
1353,Hà Nội,BẮC TỪ LIÊM,,ha noi,bac tu liem,
1354,Hà Nội,CHƯƠNG MỸ,,ha noi,chuong my,
1355,Hà Nội,CẦU GIẤY,,ha noi,cau giay,
1356,Hà Nội,GIA LÂM,,ha noi,gia lam,
1357,Hà Nội,HAI BÀ TRƯNG,,ha noi,hai ba trung,
1358,Hà Nội,HOÀI ĐỨC,,ha noi,hoai duc,
1359,Hà Nội,HOÀN KIẾM,,ha noi,hoan kiem,
1360,Hà Nội,HOÀNG MAI,,ha noi,hoang mai,
1361,Hà Nội,HÀ ĐÔNG,,ha noi,ha dong,
1362,Hà Nội,LONG BIÊN,,ha noi,long bien,
1363,Hà Nội,MÊ LINH,,ha noi,me linh,
1364,Hà Nội,MỸ ĐỨC,,ha noi,my duc,
1365,Hà Nội,NAM TỪ LIÊM,,ha noi,nam tu liem,
1366,Hà Nội,PHÚ XUYÊN,,ha noi,phu xuyen,
1367,Gia Lai,IA PA,,gia lai,ia pa,
1368,Kiên Giang,CHÂU THÀNH,,kien giang,chau thanh,
1369,Kiên Giang,GIANG THÀNH,,kien giang,giang thanh,
1370,Kiên Giang,GIỒNG RIỀNG,,kien giang,giong rieng,
1371,Kiên Giang,GÒ QUAO,,kien giang,go quao,
1372,Kiên Giang,HÀ TIÊN,,kien giang,ha tien,
1373,Kiên Giang,HÒN ĐẤT,,kien giang,hon dat,
1374,Kiên Giang,KIÊN HẢI,,kien giang,kien hai,
1375,Kiên Giang,KIÊN LƯƠNG,,kien giang,kien luong,
1376,Kiên Giang,PHÚ QUỐC,,kien giang,phu quoc,
1377,Kiên Giang,RẠCH GIÁ,,kien giang,rach gia,
1378,Kiên Giang,TÂN HIỆP,,kien giang,tan hiep,
1379,Kiên Giang,U MINH THƯỢNG,,kien giang,u minh thuong,
1380,Kiên Giang,VĨNH THUẬN,,kien giang,vinh thuan,
1381,Bến Tre,BA TRI,,ben tre,ba tri,
1382,Bến Tre,BÌNH ĐẠI,,ben tre,binh dai,
1383,Bến Tre,BẾN TRE,,ben tre,ben tre,
1384,Bến Tre,CHÂU THÀNH,,ben tre,chau thanh,
1385,Bến Tre,CHỢ LÁCH,,ben tre,cho lach,
1386,Bến Tre,GIỒNG TRÔM,,ben tre,giong trom,
1387,Bến Tre,MỎ CÀY BẮC,,ben tre,mo cay bac,
1388,Bến Tre,MỎ CÀY NAM,,ben tre,mo cay nam,
1389,Bến Tre,THẠNH PHÚ,,ben tre,thanh phu,
1390,Trà Vinh,CHÂU THÀNH,,tra vinh,chau thanh,
1391,Trà Vinh,CÀNG LONG,,tra vinh,cang long,
1392,Trà Vinh,CẦU KÈ,,tra vinh,cau ke,
1393,Trà Vinh,CẦU NGANG,,tra vinh,cau ngang,
1394,Trà Vinh,DUYÊN HẢI,,tra vinh,duyen hai,
1395,Trà Vinh,TIỂU CẦN,,tra vinh,tieu can,
1396,Trà Vinh,TRÀ CÚ,,tra vinh,tra cu,
1397,Trà Vinh,TRÀ VINH,,tra vinh,tra vinh,
1398,Sóc Trăng,CHÂU THÀNH,,soc trang,chau thanh,
1399,Sóc Trăng,CÙ LAO DUNG,,soc trang,cu lao dung,
1400,Phú Thọ,CẨM KHÊ,,phu tho,cam khe,
1401,Phú Thọ,HẠ HOÀ,,phu tho,ha hoa,
1402,Phú Thọ,LÂM THAO,,phu tho,lam thao,
1403,Phú Thọ,PHÙ NINH,,phu tho,phu ninh,
1404,Phú Thọ,PHÚ THỌ,,phu tho,phu tho,
1405,Phú Thọ,TAM NÔNG,,phu tho,tam nong,
1406,Phú Thọ,THANH BA,,phu tho,thanh ba,
1407,Phú Thọ,THANH SƠN,,phu tho,thanh son,
1408,Phú Thọ,THANH THUỶ,,phu tho,thanh thuy,
1409,Phú Thọ,TÂN SƠN,,phu tho,tan son,
1410,Phú Thọ,VIỆT TRÌ,,phu tho,viet tri,
1411,Phú Thọ,YÊN LẬP,,phu tho,yen lap,
1412,Phú Thọ,ĐOAN HÙNG,,phu tho,doan hung,
1231,Tây Ninh,BẾN CẦU,,tay ninh,ben cau,
1232,Tây Ninh,CHÂU THÀNH,,tay ninh,chau thanh,
1233,Tây Ninh,DƯƠNG MINH CHÂU,,tay ninh,duong minh chau,
1234,Tây Ninh,GÒ DẦU,,tay ninh,go dau,
1235,Tây Ninh,HÒA THÀNH,,tay ninh,hoa thanh,
1236,Tây Ninh,TRẢNG BÀNG,,tay ninh,trang bang,
1237,Tây Ninh,TÂN BIÊN,,tay ninh,tan bien,
1238,Tây Ninh,TÂN CHÂU,,tay ninh,tan chau,
1239,Tây Ninh,TÂY NINH,,tay ninh,tay ninh,
1240,Long An,BẾN LỨC,,long an,ben luc,
1241,Long An,CHÂU THÀNH,,long an,chau thanh,
1242,Long An,CẦN GIUỘC,,long an,can giuoc,
1243,Long An,CẦN ĐƯỚC,,long an,can duoc,
1244,Long An,KIẾN TƯỜNG,,long an,kien tuong,
1245,Long An,MỘC HÓA,,long an,moc hoa,
1246,Long An,THẠNH HÓA,,long an,thanh hoa,
1247,Long An,THỦ THỪA,,long an,thu thua,
1248,Long An,TÂN AN,,long an,tan an,
1249,Long An,TÂN HƯNG,,long an,tan hung,
1250,Long An,TÂN THẠNH,,long an,tan thanh,
1251,Long An,TÂN TRỤ,,long an,tan tru,
1252,Long An,VĨNH HƯNG,,long an,vinh hung,
1253,Long An,ĐỨC HUỆ,,long an,duc hue,
1254,Long An,ĐỨC HÒA,,long an,duc hoa,
1255,Tiền Giang,HUYỆN CAI LẬY,,tien giang,huyen cai lay,
1256,Tiền Giang,CHÂU THÀNH,,tien giang,chau thanh,
1257,Tiền Giang,CHỢ GẠO,,tien giang,cho gao,
1258,Tiền Giang,CÁI BÈ,,tien giang,cai be,
1259,Tiền Giang,GÒ CÔNG,,tien giang,go cong,
1260,Tiền Giang,GÒ CÔNG TÂY,,tien giang,go cong tay,
1261,Tiền Giang,GÒ CÔNG ĐÔNG,,tien giang,go cong dong,
1262,Tiền Giang,MỸ THO,,tien giang,my tho,
1263,Tiền Giang,TÂN PHÚ ĐÔNG,,tien giang,tan phu dong,
1264,Tiền Giang,TÂN PHƯỚC,,tien giang,tan phuoc,
1265,Đồng Tháp,CAO LÃNH,,dong thap,cao lanh,
1266,Đồng Tháp,CHÂU THÀNH,,dong thap,chau thanh,
1267,Đồng Tháp,HỒNG NGỰ,,dong thap,hong ngu,
1268,Đồng Tháp,LAI VUNG,,dong thap,lai vung,
1269,Đồng Tháp,LẤP VÒ,,dong thap,lap vo,
1270,Đồng Tháp,SA ĐÉC,,dong thap,sa dec,
1271,Đồng Tháp,TAM NÔNG,,dong thap,tam nong,
1272,Đồng Tháp,THANH BÌNH,,dong thap,thanh binh,
1273,Đồng Tháp,THÁP MƯỜI,,dong thap,thap muoi,
1274,Đồng Tháp,TÂN HỒNG,,dong thap,tan hong,
1275,An Giang,AN PHÚ,,an giang,an phu,
1276,An Giang,CHÂU PHÚ,,an giang,chau phu,
1277,An Giang,CHÂU THÀNH,,an giang,chau thanh,
1278,An Giang,CHÂU ĐỐC,,an giang,chau doc,
1279,An Giang,CHỢ MỚI,,an giang,cho moi,
1280,An Giang,LONG XUYÊN,,an giang,long xuyen,
1281,An Giang,PHÚ TÂN,,an giang,phu tan,
1282,An Giang,THOẠI SƠN,,an giang,thoai son,
1283,An Giang,TRI TÔN,,an giang,tri ton,
1284,An Giang,TÂN CHÂU,,an giang,tan chau,
1285,An Giang,TỊNH BIÊN,,an giang,tinh bien,
1286,Vĩnh Long,VŨNG LIÊM,,vinh long,vung liem,
1287,Vĩnh Long,BÌNH MINH,,vinh long,binh minh,
1288,Vĩnh Long,BÌNH TÂN,,vinh long,binh tan,
1289,Vĩnh Long,LONG HỒ,,vinh long,long ho,
1290,Vĩnh Long,MANG THÍT,,vinh long,mang thit,
1291,Vĩnh Long,TAM BÌNH,,vinh long,tam binh,
1292,Vĩnh Long,TRÀ ÔN,,vinh long,tra on,
1293,Vĩnh Long,VĨNH LONG,,vinh long,vinh long,
1294,Cần Thơ,BÌNH THUỶ,,can tho,binh thuy,
1295,Cần Thơ,CÁI RĂNG,,can tho,cai rang,
1296,Cần Thơ,CỜ ĐỎ,,can tho,co do,
1297,Cần Thơ,NINH KIỀU,,can tho,ninh kieu,
1298,Cần Thơ,PHONG ĐIỀN,,can tho,phong dien,
1299,Cần Thơ,THỐT NỐT,,can tho,thot not,
1300,Cần Thơ,THỚI LAI,,can tho,thoi lai,
1301,Cần Thơ,VĨNH THẠNH,,can tho,vinh thanh,
1302,Cần Thơ,Ô MÔN,,can tho,o mon,
1303,Hậu Giang,CHÂU THÀNH,,hau giang,chau thanh,
1304,Hậu Giang,CHÂU THÀNH A,,hau giang,chau thanh a,
1305,Hậu Giang,LONG MỸ,,hau giang,long my,
1306,Hậu Giang,NGÃ BẢY,,hau giang,nga bay,
1307,Hậu Giang,PHỤNG HIỆP,,hau giang,phung hiep,
1308,Hậu Giang,VỊ THANH,,hau giang,vi thanh,
1309,Hậu Giang,VỊ THUỶ,,hau giang,vi thuy,
1310,Kiên Giang,AN BIÊN,,kien giang,an bien,
1311,Kiên Giang,AN MINH,,kien giang,an minh,
1312,Sóc Trăng,KẾ SÁCH,,soc trang,ke sach,
1313,Sóc Trăng,LONG PHÚ,,soc trang,long phu,
1314,Sóc Trăng,MỸ TÚ,,soc trang,my tu,
1315,Sóc Trăng,MỸ XUYÊN,,soc trang,my xuyen,
1316,Sóc Trăng,NGÃ NĂM,,soc trang,nga nam,
1317,Sóc Trăng,SÓC TRĂNG,,soc trang,soc trang,
1318,Sóc Trăng,THẠNH TRỊ,,soc trang,thanh tri,
1319,Sóc Trăng,VĨNH CHÂU,,soc trang,vinh chau,
1320,Sóc Trăng,TRẦN ĐỀ,,soc trang,tran de,
1321,Bắc Kạn,BA BỂ,,bac kan,ba be,
1322,Bắc Kạn,BẠCH THÔNG,,bac kan,bach thong,
1323,Bắc Kạn,BẮC KẠN,,bac kan,bac kan,
1324,Bắc Kạn,CHỢ MỚI,,bac kan,cho moi,
1325,Bắc Kạn,CHỢ ĐỒN,,bac kan,cho don,
1326,Bắc Kạn,NA RÌ,,bac kan,na ri,
1327,Bắc Kạn,NGÂN SƠN,,bac kan,ngan son,
1328,Bắc Kạn,PÁC NẶM,,bac kan,pac nam,
1329,Cà Mau,CÀ MAU,,ca mau,ca mau,
1330,Cà Mau,CÁI NƯỚC,,ca mau,cai nuoc,
1331,Cà Mau,NGỌC HIỂN,,ca mau,ngoc hien,
1332,Cà Mau,NĂM CĂN,,ca mau,nam can,
1333,Cà Mau,PHÚ TÂN,,ca mau,phu tan,
1334,Cà Mau,THỚI BÌNH,,ca mau,thoi binh,
1335,Cà Mau,TRẦN VĂN THỜI,,ca mau,tran van thoi,
1336,Cà Mau,U MINH,,ca mau,u minh,
1337,Cà Mau,ĐẦM DƠI,,ca mau,dam doi,
1338,Cục Trưởng Cục Cảnh Sát,,,cuc truong cuc canh sat,,
1339,Bắc Ninh,BẮC NINH,,bac ninh,bac ninh,
1340,Bắc Ninh,GIA BÌNH,,bac ninh,gia binh,
1341,Bắc Ninh,LƯƠNG TÀI,,bac ninh,luong tai,
1342,Bắc Ninh,QUẾ VÕ,,bac ninh,que vo,
1343,Bắc Ninh,THUẬN THÀNH,,bac ninh,thuan thanh,
1344,Bắc Ninh,TIÊN DU,,bac ninh,tien du,
1345,Bắc Ninh,TỪ SƠN,,bac ninh,tu son,
